year,team,win_rate,goal_diff_avg,participations,rank,finalist
1966,Portugal,0.0,0.0,0,9,0
1966,Argentina,0.5,0.17,4,3,0
1966,Spain,0.417,-0.17,3,7,0
1966,Korea DPR,0.0,0.0,0,112,0
1966,Italy,0.647,0.94,5,6,0
1966,France,0.5,0.57,5,4,0
1966,Hungary,0.579,1.84,5,36,0
1966,Germany,0.545,0.55,5,11,1
1966,Switzerland,0.333,-0.53,5,15,0
1966,Bulgaria,0.0,-2.0,1,72,0
1966,England,0.214,-0.14,4,5,1
1966,Uruguay,0.688,1.69,4,14,0
1966,Brazil,0.655,1.52,7,1,0
1966,Mexico,0.071,-2.21,5,13,0
1966,Soviet Union,0.444,0.11,2,50,0
1966,Chile,0.583,0.25,3,29,0
1970,Sweden,0.5,0.19,4,25,0
1970,Belgium,0.0,-2.0,4,2,0
1970,El Salvador,0.0,0.0,0,74,0
1970,Czechoslovakia,0.421,0.05,5,50,0
1970,Italy,0.6,0.8,6,6,1
1970,Germany,0.571,0.75,6,11,0
1970,Bulgaria,0.0,-2.17,2,72,0
1970,Israel,0.0,0.0,0,76,0
1970,Uruguay,0.6,1.2,5,14,0
1970,England,0.4,0.3,5,5,0
1970,Mexico,0.059,-1.94,6,13,0
1970,Brazil,0.625,1.31,8,1,1
1970,Soviet Union,0.533,0.33,3,50,0
1970,Romania,0.2,-0.8,3,53,0
1970,Peru,0.0,-1.5,1,23,0
1970,Morocco,0.0,0.0,0,22,0
1974,Sweden,0.474,0.16,5,25,0
1974,Argentina,0.5,0.25,5,3,0
1974,Netherlands,0.0,-2.0,2,8,1
1974,Poland,0.0,-1.0,1,26,0
1974,Australia,0.0,0.0,0,38,0
1974,Italy,0.577,0.69,7,6,0
1974,Germany,0.618,0.82,7,11,1
1974,Bulgaria,0.0,-1.89,3,72,0
1974,Uruguay,0.538,0.88,6,14,0
1974,Germany DR,0.0,0.0,0,50,0
1974,Brazil,0.684,1.42,9,1,0
1974,Scotland,0.0,-2.0,2,40,0
1974,Chile,0.467,0.0,4,29,0
1974,Yugoslavia,0.474,0.32,5,50,0
1974,Haiti,0.0,0.0,0,87,0
1974,Zaire,0.0,0.0,0,50,0
1978,Austria,0.5,0.0,3,34,0
1978,Sweden,0.44,0.16,6,25,0
1978,Argentina,0.409,0.05,6,3,1
1978,Netherlands,0.556,0.89,3,8,1
1978,Spain,0.4,-0.2,4,7,0
1978,Italy,0.552,0.66,8,6,0
1978,France,0.412,0.29,6,4,0
1978,Hungary,0.565,1.57,6,36,0
1978,Germany,0.659,0.9,8,11,0
1978,Brazil,0.644,1.24,10,1,0
1978,Scotland,0.125,-1.0,3,40,0
1978,Mexico,0.143,-1.48,7,13,0
1978,Peru,0.333,-0.5,2,23,0
1978,Iran,0.0,0.0,0,20,0
1978,Poland,0.75,1.25,2,26,0
1978,Tunisia,0.0,0.0,0,30,0
1982,New Zealand,0.0,0.0,0,105,0
1982,El Salvador,0.0,-3.0,1,74,0
1982,Northern Ireland,0.4,-0.8,1,59,0
1982,Spain,0.389,-0.17,5,7,0
1982,Hungary,0.5,1.19,7,36,0
1982,France,0.4,0.25,7,4,0
1982,Germany,0.596,0.89,9,11,1
1982,Algeria,0.0,0.0,0,37,0
1982,England,0.417,0.25,6,5,0
1982,Brazil,0.635,1.21,11,1,0
1982,Scotland,0.182,-0.82,4,40,0
1982,Soviet Union,0.526,0.47,4,50,0
1982,Yugoslavia,0.4,0.44,6,50,0
1982,Austria,0.5,-0.17,4,34,0
1982,Belgium,0.111,-1.44,5,2,0
1982,Argentina,0.483,0.41,7,3,0
1982,Poland,0.643,0.71,3,26,0
1982,Czechoslovakia,0.364,-0.18,6,50,0
1982,Italy,0.556,0.61,9,6,1
1982,Kuwait,0.0,0.0,0,149,0
1982,Cameroon,0.0,0.0,0,43,0
1982,Peru,0.333,-0.67,3,23,0
1982,Chile,0.389,-0.06,5,29,0
1982,Honduras,0.0,0.0,0,80,0
1986,Portugal,0.833,1.5,1,9,0
1986,South Korea,0.0,-8.0,1,28,0
1986,Northern Ireland,0.3,-0.6,2,59,0
1986,Spain,0.348,-0.17,6,7,0
1986,Hungary,0.483,1.28,8,36,0
1986,France,0.407,0.33,8,4,0
1986,Germany,0.574,0.81,10,11,1
1986,Denmark,0.0,0.0,0,10,0
1986,Algeria,0.667,0.0,1,37,0
1986,Bulgaria,0.0,-1.67,4,72,0
1986,England,0.448,0.38,7,5,0
1986,Uruguay,0.483,0.62,7,14,0
1986,Brazil,0.649,1.26,12,1,0
1986,Scotland,0.214,-0.64,5,40,0
1986,Paraguay,0.286,-1.0,3,47,0
1986,Soviet Union,0.5,0.5,5,50,0
1986,Morocco,0.0,-1.33,1,22,0
1986,Canada,0.0,0.0,0,41,0
1986,Belgium,0.214,-1.07,6,2,0
1986,Argentina,0.471,0.38,8,3,1
1986,Italy,0.558,0.65,10,6,0
1986,Iraq,0.0,0.0,0,68,0
1986,Mexico,0.125,-1.71,8,13,0
1986,Poland,0.571,0.76,4,26,0
1990,Sweden,0.393,0.07,7,25,0
1990,South Korea,0.0,-3.8,2,28,0
1990,Spain,0.393,0.11,7,7,0
1990,Germany,0.557,0.74,11,11,1
1990,England,0.441,0.44,8,5,0
1990,Uruguay,0.424,0.36,8,14,0
1990,Brazil,0.661,1.31,13,1,0
1990,Scotland,0.176,-0.65,6,40,0
1990,Soviet Union,0.5,0.68,6,50,0
1990,Yugoslavia,0.393,0.39,7,50,0
1990,Colombia,0.0,-2.0,1,17,0
1990,Austria,0.478,-0.09,5,34,0
1990,Belgium,0.238,-0.86,7,2,0
1990,Argentina,0.537,0.54,9,3,1
1990,Czechoslovakia,0.32,-0.24,7,50,0
1990,Italy,0.532,0.57,11,6,0
1990,United States,0.429,-1.29,3,16,0
1990,Egypt,0.0,-2.0,1,39,0
1990,Republic of Ireland,0.0,0.0,0,49,0
1990,United Arab Emirates,0.0,0.0,0,70,0
1990,Cameroon,0.0,0.0,1,43,0
1990,Costa Rica,0.0,0.0,0,31,0
1990,Romania,0.25,-0.62,4,53,0
1990,Netherlands,0.5,0.81,4,8,0
1994,Norway,0.0,-1.0,1,42,0
1994,Sweden,0.355,-0.03,8,25,0
1994,South Korea,0.0,-3.0,3,28,0
1994,Spain,0.406,0.16,8,7,0
1994,Germany,0.574,0.81,12,11,0
1994,Bulgaria,0.0,-1.5,5,72,0
1994,Russia,0.0,0.0,0,33,0
1994,Brazil,0.667,1.26,14,1,1
1994,Colombia,0.143,-0.86,2,17,0
1994,Morocco,0.143,-0.43,2,22,0
1994,Greece,0.0,0.0,0,52,0
1994,Belgium,0.28,-0.64,8,2,0
1994,Argentina,0.5,0.48,10,3,0
1994,Bolivia,0.0,-5.33,2,82,0
1994,Italy,0.574,0.65,12,6,1
1994,Switzerland,0.278,-0.89,6,15,0
1994,United States,0.3,-1.5,4,16,0
1994,Saudi Arabia,0.0,0.0,0,51,0
1994,Nigeria,0.0,0.0,0,32,0
1994,Republic of Ireland,0.0,-0.2,1,49,0
1994,Cameroon,0.375,-0.25,2,43,0
1994,Mexico,0.207,-1.28,9,13,0
1994,Romania,0.25,-0.33,5,53,0
1994,Netherlands,0.4,0.6,5,8,0
1998,Norway,0.25,-0.25,2,42,0
1998,FR Yugoslavia,0.0,0.0,0,50,0
1998,South Korea,0.0,-2.27,4,28,0
1998,South Africa,0.0,0.0,0,67,0
1998,Spain,0.405,0.24,9,7,0
1998,France,0.441,0.44,9,4,1
1998,Germany,0.575,0.78,13,11,0
1998,Denmark,0.75,1.0,1,10,0
1998,Bulgaria,0.13,-1.09,6,72,0
1998,England,0.439,0.41,9,5,0
1998,Brazil,0.671,1.25,15,1,1
1998,Scotland,0.2,-0.6,7,40,0
1998,Paraguay,0.273,-0.82,4,47,0
1998,Jamaica,0.0,0.0,0,64,0
1998,Morocco,0.1,-0.6,3,22,0
1998,Colombia,0.2,-0.7,3,17,0
1998,Tunisia,0.333,0.33,1,30,0
1998,Austria,0.462,-0.12,6,34,0
1998,Belgium,0.31,-0.55,9,2,0
1998,Argentina,0.5,0.48,11,3,0
1998,Italy,0.574,0.62,13,6,0
1998,United States,0.286,-1.14,5,16,0
1998,Saudi Arabia,0.5,-0.25,1,51,0
1998,Croatia,0.0,0.0,0,12,0
1998,Nigeria,0.5,0.75,1,32,0
1998,Cameroon,0.273,-0.91,3,43,0
1998,Mexico,0.212,-1.12,10,13,0
1998,Romania,0.353,-0.18,6,53,0
1998,Japan,0.0,0.0,0,24,0
1998,Iran,0.0,-2.0,1,20,0
1998,Chile,0.333,-0.29,6,29,0
1998,Netherlands,0.44,0.56,6,8,0
2002,Sweden,0.368,0.16,9,25,0
2002,South Korea,0.0,-2.29,5,28,0
2002,Portugal,0.667,0.78,2,9,0
2002,Senegal,0.0,0.0,0,18,0
2002,South Africa,0.0,-1.0,1,67,0
2002,Spain,0.4,0.32,10,7,0
2002,France,0.512,0.68,10,4,0
2002,Germany,0.577,0.76,14,11,1
2002,Denmark,0.556,0.67,2,10,0
2002,England,0.444,0.44,10,5,0
2002,Uruguay,0.405,0.24,9,14,0
2002,Russia,0.333,0.33,1,33,0
2002,Brazil,0.662,1.19,16,1,1
2002,Paraguay,0.267,-0.53,5,47,0
2002,China PR,0.0,0.0,0,79,0
2002,Tunisia,0.167,-0.33,2,30,0
2002,Belgium,0.281,-0.5,10,2,0
2002,Argentina,0.509,0.54,12,3,0
2002,Türkiye,0.333,-0.33,1,45,0
2002,Italy,0.576,0.65,14,6,0
2002,United States,0.235,-1.18,6,16,0
2002,Saudi Arabia,0.286,-0.86,2,51,0
2002,Croatia,0.714,0.86,1,12,0
2002,Nigeria,0.5,0.0,2,32,0
2002,Republic of Ireland,0.111,-0.33,2,49,0
2002,Cameroon,0.214,-0.93,4,43,0
2002,Mexico,0.216,-0.97,11,13,0
2002,Costa Rica,0.5,-0.5,1,31,0
2002,Slovenia,0.0,0.0,0,63,0
2002,Japan,0.0,-1.0,1,24,0
2002,Ecuador,0.0,0.0,0,44,0
2002,Poland,0.52,0.4,5,26,0
2006,Ukraine,0.0,0.0,0,27,0
2006,Sweden,0.357,0.14,10,25,0
2006,Portugal,0.583,0.75,3,9,0
2006,South Korea,0.143,-1.43,6,28,0
2006,Trinidad and Tobago,0.0,0.0,0,104,0
2006,Czech Republic,0.0,0.0,0,50,0
2006,Spain,0.422,0.4,11,7,0
2006,Cote d'Ivoire,0.0,0.0,0,48,0
2006,France,0.477,0.57,11,4,1
2006,Germany,0.588,0.82,15,11,0
2006,England,0.44,0.46,11,5,0
2006,Brazil,0.69,1.25,17,1,0
2006,Paraguay,0.263,-0.47,6,47,0
2006,Tunisia,0.111,-0.67,3,30,0
2006,Argentina,0.5,0.52,13,3,0
2006,Togo,0.0,0.0,0,127,0
2006,Ghana,0.0,0.0,0,61,0
2006,Australia,0.0,-1.67,1,38,0
2006,Switzerland,0.273,-0.82,7,15,0
2006,Italy,0.557,0.61,15,6,1
2006,Serbia and Montenegro,0.0,0.0,0,50,0
2006,United States,0.273,-0.91,7,16,0
2006,Saudi Arabia,0.2,-1.8,3,51,0
2006,Angola,0.0,0.0,0,119,0
2006,Croatia,0.6,0.5,2,12,0
2006,Costa Rica,0.429,-0.43,2,31,0
2006,Mexico,0.244,-0.88,12,13,0
2006,Japan,0.286,-0.14,2,24,0
2006,Ecuador,0.333,-0.67,1,44,0
2006,Iran,0.167,-1.33,2,20,0
2006,Poland,0.5,0.21,6,26,0
2006,Netherlands,0.438,0.62,7,8,0
2010,Portugal,0.579,0.58,4,9,0
2010,New Zealand,0.0,-3.33,1,105,0
2010,South Korea,0.167,-1.29,7,28,0
2010,South Africa,0.167,-0.5,2,67,0
2010,Spain,0.449,0.47,12,7,1
2010,Cote d'Ivoire,0.333,-0.33,1,48,0
2010,Korea DPR,0.25,-1.0,1,112,0
2010,France,0.49,0.61,12,4,0
2010,Germany,0.598,0.85,16,11,0
2010,Denmark,0.538,0.46,3,10,0
2010,Algeria,0.333,-0.67,2,37,0
2010,Uruguay,0.375,0.2,10,14,0
2010,England,0.455,0.49,12,5,0
2010,Serbia,0.0,0.0,0,21,0
2010,Brazil,0.696,1.27,18,1,0
2010,Slovakia,0.0,0.0,0,55,0
2010,Paraguay,0.273,-0.41,7,47,0
2010,Greece,0.0,-3.33,1,52,0
2010,Argentina,0.508,0.6,14,3,0
2010,Ghana,0.5,-0.5,1,61,0
2010,Australia,0.143,-0.86,2,38,0
2010,Switzerland,0.308,-0.54,8,15,0
2010,Italy,0.571,0.69,16,6,0
2010,United States,0.24,-0.96,8,16,0
2010,Nigeria,0.364,-0.18,3,32,0
2010,Cameroon,0.235,-0.82,5,43,0
2010,Mexico,0.244,-0.8,13,13,0
2010,Slovenia,0.0,-1.67,1,63,0
2010,Japan,0.2,-0.6,3,24,0
2010,Chile,0.28,-0.36,7,29,0
2010,Honduras,0.0,-0.33,1,80,0
2010,Netherlands,0.444,0.58,8,8,1
2014,Portugal,0.522,0.74,5,9,0
2014,South Korea,0.179,-1.18,8,28,0
2014,Spain,0.5,0.52,13,7,0
2014,Cote d'Ivoire,0.333,0.0,2,48,0
2014,France,0.463,0.52,13,4,0
2014,Germany,0.606,0.9,17,11,1
2014,Algeria,0.222,-0.67,3,37,0
2014,Uruguay,0.383,0.23,11,14,0
2014,England,0.441,0.42,13,5,0
2014,Russia,0.333,0.17,2,33,0
2014,Brazil,0.691,1.26,19,1,0
2014,Colombia,0.231,-0.69,4,17,0
2014,Greece,0.167,-2.17,2,52,0
2014,Belgium,0.278,-0.47,11,2,0
2014,Argentina,0.529,0.61,15,3,1
2014,Ghana,0.444,-0.11,2,61,0
2014,Australia,0.2,-0.9,3,38,0
2014,Italy,0.55,0.65,17,6,0
2014,Switzerland,0.31,-0.48,9,15,0
2014,United States,0.241,-0.83,9,16,0
2014,Croatia,0.462,0.31,3,12,0
2014,Nigeria,0.286,-0.29,4,32,0
2014,Cameroon,0.2,-0.85,6,43,0
2014,Costa Rica,0.3,-0.9,3,31,0
2014,Mexico,0.245,-0.76,14,13,0
2014,Bosnia and Herzegovina,0.0,0.0,0,58,0
2014,Japan,0.286,-0.29,4,24,0
2014,Ecuador,0.429,-0.14,2,44,0
2014,Iran,0.111,-1.33,3,20,0
2014,Chile,0.31,-0.38,8,29,0
2014,Honduras,0.0,-0.67,2,80,0
2014,Netherlands,0.512,0.63,9,8,0
2018,Sweden,0.348,0.11,11,25,0
2018,South Korea,0.161,-1.16,9,28,0
2018,Portugal,0.5,0.54,6,9,0
2018,Senegal,0.4,0.2,1,18,0
2018,Spain,0.492,0.44,14,7,0
2018,France,0.475,0.59,14,4,1
2018,Germany,0.623,0.97,18,11,0
2018,Denmark,0.5,0.19,4,10,0
2018,Uruguay,0.392,0.18,12,14,0
2018,England,0.419,0.37,14,5,0
2018,Russia,0.222,0.0,3,33,0
2018,Serbia,0.333,-0.33,1,21,0
2018,Iceland,0.0,0.0,0,62,0
2018,Brazil,0.673,1.14,20,1,0
2018,Colombia,0.389,-0.06,5,17,0
2018,Tunisia,0.083,-0.75,4,30,0
2018,Morocco,0.154,-0.46,4,22,0
2018,Belgium,0.341,-0.34,12,2,0
2018,Argentina,0.545,0.61,16,3,0
2018,Australia,0.154,-1.15,4,38,0
2018,Switzerland,0.333,-0.42,10,15,0
2018,Saudi Arabia,0.154,-1.77,4,51,0
2018,Croatia,0.438,0.25,4,12,1
2018,Nigeria,0.278,-0.33,5,32,0
2018,Egypt,0.0,-0.75,2,39,0
2018,Mexico,0.264,-0.66,15,13,0
2018,Costa Rica,0.333,-0.4,4,31,0
2018,Peru,0.267,-0.8,4,23,0
2018,Japan,0.235,-0.47,5,24,0
2018,Panama,0.0,0.0,0,60,0
2018,Iran,0.083,-1.25,4,20,0
2018,Poland,0.484,0.13,7,26,0
2022,Portugal,0.467,0.47,7,9,0
2022,South Korea,0.176,-1.06,10,28,0
2022,Wales,0.2,0.0,1,19,0
2022,Senegal,0.375,0.12,2,18,0
2022,Spain,0.476,0.43,15,7,0
2022,France,0.515,0.65,15,4,1
2022,Germany,0.615,0.93,19,11,0
2022,Denmark,0.45,0.2,5,10,0
2022,England,0.42,0.39,15,5,0
2022,Uruguay,0.429,0.23,13,14,0
2022,Serbia,0.333,-0.5,2,21,0
2022,Brazil,0.67,1.14,21,1,0
2022,Qatar,0.0,0.0,0,50,0
2022,Morocco,0.125,-0.5,5,22,0
2022,Tunisia,0.133,-0.8,5,30,0
2022,Canada,0.0,-1.67,1,41,0
2022,Belgium,0.417,-0.08,13,2,0
2022,Argentina,0.531,0.54,17,3,1
2022,Ghana,0.333,-0.25,3,61,0
2022,Australia,0.125,-1.12,5,38,0
2022,Switzerland,0.324,-0.38,11,15,0
2022,United States,0.242,-0.76,10,16,0
2022,Saudi Arabia,0.188,-1.75,5,51,0
2022,Croatia,0.478,0.39,5,12,0
2022,Cameroon,0.174,-1.09,7,43,0
2022,Costa Rica,0.278,-0.5,5,31,0
2022,Mexico,0.281,-0.67,16,13,0
2022,Japan,0.238,-0.43,6,24,0
2022,Ecuador,0.4,-0.1,3,44,0
2022,Iran,0.133,-1.0,5,20,0
2022,Poland,0.471,0.03,8,26,0
2022,Netherlands,0.54,0.76,10,8,0
